strategy,timestamp,event,model_step,eval/accuracy,eval/pass_at_1,eval/correct,eval/wrong_answer,eval/wrong_format,eval/count,eval/generated_response_tokens,eval/prompt_tokens,eval/total_rollout_tokens,eval/average_response_length,cumulative_rollout_tokens
dynamic,1789657935.8880985,evaluation,20,0.60546875,0.60546875,155,46,55,256,83466,15581,99047,326.0390625,793510
dynamic,1789658123.639714,evaluation,30,0.64453125,0.64453125,165,41,50,256,84785,15581,100366,331.19140625,1310707
dynamic,1789658314.919756,evaluation,40,0.65625,0.65625,168,40,48,256,84899,15581,100480,331.63671875,1833800
dynamic,1789658544.917397,evaluation,50,0.6796875,0.6796875,174,40,42,256,85199,15581,100780,332.80859375,2508156
dynamic,1789658744.8333948,evaluation,60,0.71484375,0.71484375,183,39,34,256,84849,15581,100430,331.44140625,3041139
dynamic,1789658990.8697422,evaluation,70,0.73046875,0.73046875,187,30,39,256,85740,15581,101321,334.921875,3730529
dynamic,1789659137.6078014,evaluation,74,0.78013646702047,0.78013646702047,1029,162,128,1319,454678,80865,535543,344.7141774071266,4009358
difficulty beta=0.9,1789693416.4823337,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
difficulty beta=0.9,1789693518.4815736,evaluation,10,0.62890625,0.62890625,161,49,46,256,84504,15581,100085,330.09375,258749
difficulty beta=0.9,1789693621.2289574,evaluation,20,0.66015625,0.66015625,169,45,42,256,84538,15581,100119,330.2265625,522949
difficulty beta=0.9,1789693725.262459,evaluation,30,0.6328125,0.6328125,162,46,48,256,85153,15581,100734,332.62890625,814619
difficulty beta=0.9,1789693829.7389894,evaluation,40,0.65234375,0.65234375,167,41,48,256,84964,15581,100545,331.890625,1105715
difficulty beta=0.9,1789693933.385196,evaluation,50,0.68359375,0.68359375,175,35,46,256,86067,15581,101648,336.19921875,1386166
difficulty beta=0.9,1789694041.1667762,evaluation,60,0.703125,0.703125,180,40,36,256,85871,15581,101452,335.43359375,1684362
difficulty beta=0.9,1789694144.7316368,evaluation,70,0.72265625,0.72265625,185,35,36,256,85864,15581,101445,335.40625,1969555
difficulty beta=0.9,1789694250.630787,evaluation,80,0.7421875,0.7421875,190,38,28,256,85949,15581,101530,335.73828125,2263969
difficulty beta=0.9,1789694356.0781507,evaluation,90,0.76171875,0.76171875,195,35,26,256,87101,15581,102682,340.23828125,2549669
difficulty beta=0.9,1789694461.244296,evaluation,100,0.7734375,0.7734375,198,33,25,256,86570,15581,102151,338.1640625,2828140
difficulty beta=0.9,1789694567.8328156,evaluation,110,0.7734375,0.7734375,198,33,25,256,86498,15581,102079,337.8828125,3115999
difficulty beta=0.9,1789694673.9971983,evaluation,120,0.765625,0.765625,196,35,25,256,86613,15581,102194,338.33203125,3405012
difficulty beta=0.9,1789694777.9418228,evaluation,130,0.7890625,0.7890625,202,31,23,256,86466,15581,102047,337.7578125,3689248
difficulty beta=0.9,1789694884.0308132,evaluation,140,0.796875,0.796875,204,29,23,256,86227,15581,101808,336.82421875,3975672
difficulty beta=0.9,1789694950.3599522,evaluation,141,0.8021228203184231,0.8021228203184231,1058,163,98,1319,458661,80865,539526,347.7338893100834,4008646
difficulty beta=0.5,1789696219.8972309,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
difficulty beta=0.5,1789696320.8627336,evaluation,10,0.640625,0.640625,164,47,45,256,83523,15581,99104,326.26171875,256712
difficulty beta=0.5,1789696423.0656366,evaluation,20,0.66015625,0.66015625,169,47,40,256,84045,15581,99626,328.30078125,527041
difficulty beta=0.5,1789696526.1882813,evaluation,30,0.65625,0.65625,168,45,43,256,84385,15581,99966,329.62890625,812393
difficulty beta=0.5,1789696630.8160586,evaluation,40,0.671875,0.671875,172,44,40,256,84695,15581,100276,330.83984375,1102457
difficulty beta=0.5,1789696734.602248,evaluation,50,0.71484375,0.71484375,183,39,34,256,85006,15581,100587,332.0546875,1391718
difficulty beta=0.5,1789696840.4202168,evaluation,60,0.7265625,0.7265625,186,38,32,256,85150,15581,100731,332.6171875,1677545
difficulty beta=0.5,1789696943.843711,evaluation,70,0.73828125,0.73828125,189,35,32,256,84884,15581,100465,331.578125,1969676
difficulty beta=0.5,1789697048.9315152,evaluation,80,0.76953125,0.76953125,197,31,28,256,85043,15581,100624,332.19921875,2267272
difficulty beta=0.5,1789697153.3436186,evaluation,90,0.7578125,0.7578125,194,31,31,256,84782,15581,100363,331.1796875,2548484
difficulty beta=0.5,1789697258.2508144,evaluation,100,0.77734375,0.77734375,199,29,28,256,85117,15581,100698,332.48828125,2837954
difficulty beta=0.5,1789697363.52134,evaluation,110,0.796875,0.796875,204,30,22,256,84177,15581,99758,328.81640625,3120415
difficulty beta=0.5,1789697469.0952835,evaluation,120,0.80078125,0.80078125,205,33,18,256,83754,15581,99335,327.1640625,3402100
difficulty beta=0.5,1789697572.6253784,evaluation,130,0.82421875,0.82421875,211,33,12,256,83493,15581,99074,326.14453125,3688562
difficulty beta=0.5,1789697677.7272892,evaluation,140,0.828125,0.828125,212,30,14,256,82968,15581,98549,324.09375,3976620
difficulty beta=0.5,1789697742.0191307,evaluation,141,0.8104624715693708,0.8104624715693708,1069,176,74,1319,436415,80865,517280,330.8680818802123,4005970
difficulty coverage=0.3,1789711193.9638004,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
difficulty coverage=0.3,1789711295.8946106,evaluation,10,0.62109375,0.62109375,159,50,47,256,84016,15581,99597,328.1875,258486
difficulty coverage=0.3,1789711399.1083696,evaluation,20,0.64453125,0.64453125,165,47,44,256,83739,15581,99320,327.10546875,529220
difficulty coverage=0.3,1789711502.3218098,evaluation,30,0.6640625,0.6640625,170,43,43,256,83790,15581,99371,327.3046875,798970
difficulty coverage=0.3,1789711607.900323,evaluation,40,0.6484375,0.6484375,166,42,48,256,83228,15581,98809,325.109375,1071117
difficulty coverage=0.3,1789711713.3111286,evaluation,50,0.66796875,0.66796875,171,40,45,256,82794,15581,98375,323.4140625,1344411
difficulty coverage=0.3,1789711818.2366729,evaluation,60,0.66796875,0.66796875,171,38,47,256,83345,15581,98926,325.56640625,1611362
difficulty coverage=0.3,1789711923.078866,evaluation,70,0.69921875,0.69921875,179,35,42,256,84101,15581,99682,328.51953125,1885809
difficulty coverage=0.3,1789712028.5372322,evaluation,80,0.71484375,0.71484375,183,33,40,256,82960,15581,98541,324.0625,2166106
difficulty coverage=0.3,1789712133.297242,evaluation,90,0.72265625,0.72265625,185,35,36,256,82442,15581,98023,322.0390625,2439782
difficulty coverage=0.3,1789712237.2221282,evaluation,100,0.71875,0.71875,184,36,36,256,82214,15581,97795,321.1484375,2724706
difficulty coverage=0.3,1789712341.2442863,evaluation,110,0.734375,0.734375,188,34,34,256,82052,15581,97633,320.515625,2992956
difficulty coverage=0.3,1789712446.112763,evaluation,120,0.73046875,0.73046875,187,32,37,256,82064,15581,97645,320.5625,3266832
difficulty coverage=0.3,1789712548.669419,evaluation,130,0.74609375,0.74609375,191,32,33,256,82001,15581,97582,320.31640625,3537336
difficulty coverage=0.3,1789712654.393027,evaluation,140,0.77734375,0.77734375,199,32,25,256,81771,15581,97352,319.41796875,3813878
difficulty coverage=0.3,1789712773.7778015,evaluation,147,0.8013646702047005,0.8013646702047005,1057,155,107,1319,430445,80865,511310,326.34192570128886,4001083
front-loaded 512,1789713982.3574803,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
front-loaded 512,1789714083.8762324,evaluation,10,0.62109375,0.62109375,159,46,51,256,84552,15581,100133,330.28125,259286
front-loaded 512,1789714186.84847,evaluation,20,0.6328125,0.6328125,162,48,46,256,83909,15581,99490,327.76953125,526990
front-loaded 512,1789714289.764062,evaluation,30,0.66015625,0.66015625,169,40,47,256,84062,15581,99643,328.3671875,797623
front-loaded 512,1789714392.8988104,evaluation,40,0.65625,0.65625,168,42,46,256,83483,15581,99064,326.10546875,1060020
front-loaded 512,1789714495.6376183,evaluation,50,0.6875,0.6875,176,42,38,256,83822,15581,99403,327.4296875,1318263
front-loaded 512,1789714598.6253386,evaluation,60,0.67578125,0.67578125,173,40,43,256,85476,15581,101057,333.890625,1588739
front-loaded 512,1789714702.269544,evaluation,70,0.67578125,0.67578125,173,42,41,256,84506,15581,100087,330.1015625,1857644
front-loaded 512,1789714807.3255346,evaluation,80,0.68359375,0.68359375,175,42,39,256,84293,15581,99874,329.26953125,2141941
front-loaded 512,1789714915.114529,evaluation,90,0.71484375,0.71484375,183,37,36,256,84875,15581,100456,331.54296875,2428440
front-loaded 512,1789715019.7482097,evaluation,100,0.73046875,0.73046875,187,40,29,256,84771,15581,100352,331.13671875,2709328
front-loaded 512,1789715126.405638,evaluation,110,0.7734375,0.7734375,198,32,26,256,84650,15581,100231,330.6640625,2988838
front-loaded 512,1789715231.849825,evaluation,120,0.75390625,0.75390625,193,33,30,256,84865,15581,100446,331.50390625,3274189
front-loaded 512,1789715336.0480118,evaluation,130,0.765625,0.765625,196,33,27,256,84483,15581,100064,330.01171875,3559660
front-loaded 512,1789715440.8806467,evaluation,140,0.75390625,0.75390625,193,34,29,256,84944,15581,100525,331.8125,3830037
front-loaded 512,1789715563.037416,evaluation,147,0.7975739196360879,0.7975739196360879,1052,162,105,1319,445962,80865,526827,338.10614101592114,4024891
